date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:22:30	109/109	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Nov%202024%2012:22:27%20GMT	https://piwcdc.org/robots.txt		(from )
12:22:30	42251/42251	---MCZ	200	added ('OK')	text/html	date:Sun,%2029%20Sep%202024%2006:54:19%20GMT	https://piwcdc.org/	C:/My%20Web%20Sites/tech/piwcdc.org/index.html	(from )
12:22:30	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Nov%202024%2012:22:28%20GMT	https://piwcdc.org/images/LOGO.jpg	C:/My%20Web%20Sites/tech/piwcdc.org/images/LOGO.jpg	(from https://piwcdc.org/)
12:22:30	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Nov%202024%2012:22:28%20GMT	https://piwcdc.org/assets/img/apple-touch-icon.html	C:/My%20Web%20Sites/tech/piwcdc.org/assets/img/apple-touch-icon.html	(from https://piwcdc.org/)
12:22:30	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Nov%202024%2012:22:28%20GMT	https://piwcdc.org/assets/vendor/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/tech/piwcdc.org/assets/vendor/bootstrap/css/bootstrap.min.css	(from https://piwcdc.org/)
12:22:31	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Nov%202024%2012:22:29%20GMT	https://piwcdc.org/assets/vendor/icofont/icofont.min.css	C:/My%20Web%20Sites/tech/piwcdc.org/assets/vendor/icofont/icofont.min.css	(from https://piwcdc.org/)
12:22:31	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Nov%202024%2012:22:29%20GMT	https://piwcdc.org/assets/vendor/boxicons/css/boxicons.min.css	C:/My%20Web%20Sites/tech/piwcdc.org/assets/vendor/boxicons/css/boxicons.min.css	(from https://piwcdc.org/)
12:22:31	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Nov%202024%2012:22:29%20GMT	https://piwcdc.org/assets/vendor/animate.css/animate.min.css	C:/My%20Web%20Sites/tech/piwcdc.org/assets/vendor/animate.css/animate.min.css	(from https://piwcdc.org/)
12:22:31	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Nov%202024%2012:22:29%20GMT	https://piwcdc.org/assets/vendor/owl.carousel/assets/owl.carousel.min.css	C:/My%20Web%20Sites/tech/piwcdc.org/assets/vendor/owl.carousel/assets/owl.carousel.min.css	(from https://piwcdc.org/)
12:22:32	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Nov%202024%2012:22:30%20GMT	https://piwcdc.org/assets/vendor/venobox/venobox.css	C:/My%20Web%20Sites/tech/piwcdc.org/assets/vendor/venobox/venobox.css	(from https://piwcdc.org/)
